,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,lnfa,lnva,lnca,lnfsd,lntsd,asq,psq
17,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8.0,1.824549292051046,-0.4155154439616658,-0.7339691750802004,3.367295829986474,4.31748811353631,163.84000000000003,11.0889
18,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6.0,2.0014800002101243,-1.0788096613719298,-0.8675005677047231,2.833213344056216,5.14166355650266,127.69000000000001,9.7344
19,6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5.0,1.8718021769015913,-1.171182981502945,-1.9661128563728327,3.5263605246161616,4.890349128221754,90.25,10.368400000000001
20,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8.0,1.824549292051046,-0.4155154439616658,-0.7339691750802004,3.367295829986474,4.31748811353631,163.84000000000003,11.0889
21,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7.0,1.8562979903656263,-1.171182981502945,-0.9675840262617056,2.9444389791664403,4.624972813284271,121.0,10.0489
22,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,8.0,1.916922612182061,-1.3470736479666092,-0.8675005677047231,3.713572066704308,4.804021044733257,110.25,12.0409
23,7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,0.51,9.3,5.0,2.028148247292285,-0.40047756659712525,-1.9661128563728327,3.2188758248682006,5.123963979403259,86.49000000000001,9.302499999999998
24,6.6,0.27,0.41,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,6.0,1.8870696490323797,-1.3093333199837622,-0.8915981192837836,2.772588722239781,4.955827057601261,100.0,11.696399999999999
25,7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,6.0,1.9459101490553132,-1.3862943611198906,-1.1394342831883648,4.02535169073515,5.501258210544727,108.16000000000001,10.5625
26,6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,6.0,1.9315214116032138,-1.4271163556401458,-1.0498221244986778,3.5553480614894135,4.983606621708336,100.0,11.902500000000002
27,7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6.0,1.9459101490553132,-1.2729656758128873,-0.941608539858445,3.4657359027997265,4.948759890378168,110.25,11.424399999999999
28,7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,6.0,2.0014800002101243,-1.3093333199837622,-0.7339691750802004,2.833213344056216,4.882801922586371,134.56,10.1761
29,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,7.0,1.9740810260220096,-1.1394342831883648,-1.0216512475319814,3.6109179126442243,4.736198448394496,151.29000000000002,9.610000000000001
30,8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,6.0,2.1400661634962708,-1.4271163556401458,-0.941608539858445,2.995732273553991,4.955827057601261,100.0,10.240000000000002
31,8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,6.0,2.1162555148025524,-1.9661128563728327,-1.0788096613719298,1.9459101490553132,3.8501476017100584,104.03999999999999,12.0409
32,7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,6.0,2.0014800002101243,-1.3862943611198906,-1.0216512475319814,3.4339872044851463,4.605170185988092,116.64000000000001,10.1761
33,6.2,0.12,0.34,1.5,0.045,43.0,117.0,0.9939,3.42,0.51,9.0,6.0,1.824549292051046,-2.120263536200091,-1.0788096613719298,3.7612001156935624,4.762173934797756,81.0,11.696399999999999
34,5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2,5.0,1.7578579175523736,-1.3093333199837622,-1.6094379124341003,3.091042453358316,5.187385805840755,104.03999999999999,11.356900000000001
35,7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,3.19,0.42,12.8,5.0,1.9878743481543455,-1.2729656758128873,-0.843970070294529,3.044522437723423,4.812184355372417,163.84000000000003,10.1761
36,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,3.24,0.35,10.0,5.0,1.8718021769015913,-0.941608539858445,-1.4696759700589417,3.2188758248682006,5.003946305945459,100.0,10.497600000000002
37,7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,6.0,1.9459101490553132,-1.1086626245216111,-1.1394342831883648,3.6375861597263857,4.927253685157205,125.43999999999998,9.796899999999999
38,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5.0,1.9878743481543455,-1.4271163556401458,-0.941608539858445,3.8066624897703196,5.003946305945459,73.96,10.3041
39,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,5.0,1.9878743481543455,-1.4271163556401458,-0.941608539858445,3.8066624897703196,5.003946305945459,73.96,10.3041
40,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,6.0,1.9021075263969205,-1.4696759700589417,-0.941608539858445,4.143134726391533,5.062595033026967,88.36000000000001,9.672099999999999
41,6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,6.0,1.9021075263969205,-1.4271163556401458,-0.941608539858445,4.143134726391533,5.056245805348308,88.36000000000001,9.610000000000001
42,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6.0,1.9459101490553132,-1.171182981502945,-1.3470736479666092,3.332204510175204,5.075173815233827,96.04000000000002,9.796899999999999
43,6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,0.56,9.5,6.0,1.8870696490323797,-1.4271163556401458,-1.3093333199837622,3.4965075614664802,5.0238805208462765,90.25,10.368400000000001
44,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,6.0,1.9021075263969205,-1.4696759700589417,-1.3470736479666092,3.4965075614664802,5.0369526024136295,90.25,10.497600000000002
45,7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,7.0,2.0014800002101243,-1.7147984280919266,-1.171182981502945,3.6375861597263857,5.117993812416755,100.0,9.985600000000002
46,6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,3.27,0.52,9.8,4.0,1.824549292051046,-0.7985076962177716,-1.3470736479666092,4.143134726391533,5.327876168789581,96.04000000000002,10.6929
47,6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52,9.8,5.0,1.824549292051046,-0.7765287894989963,-1.3862943611198906,4.127134385045092,5.332718793265369,96.04000000000002,10.5625
48,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,6.0,1.9459101490553132,-1.171182981502945,-1.3470736479666092,3.332204510175204,5.075173815233827,96.04000000000002,9.796899999999999
49,6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,5.0,1.9315214116032138,-1.6607312068216509,-1.0498221244986778,3.4657359027997265,5.0106352940962555,96.04000000000002,11.289599999999998
50,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,6.0,1.9740810260220096,-1.6607312068216509,-1.171182981502945,3.4339872044851463,5.153291594497779,136.89,11.2225
51,6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,7.0,1.8870696490323797,-1.3862943611198906,-1.2378743560016174,3.6635616461296463,4.820281565605037,121.0,11.1556
52,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,7.0,1.824549292051046,-1.8325814637483102,-1.1086626245216111,3.044522437723423,4.406719247264253,118.81,11.0224
53,6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,6.0,1.8562979903656263,-1.7147984280919266,-1.0498221244986778,3.6635616461296463,4.68213122712422,118.81,10.956100000000001
54,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,0.38,9.1,6.0,1.916922612182061,-1.6094379124341003,-0.527632742082372,3.6375861597263857,4.882801922586371,82.80999999999999,9.302499999999998
55,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,6.0,1.9315214116032138,-1.3862943611198906,-1.0498221244986778,3.367295829986474,5.25227342804663,121.0,9.796899999999999
56,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,0.5,9.6,6.0,1.9740810260220096,-1.5606477482646683,-1.0788096613719298,3.6109179126442243,5.3612921657094255,92.16,9.5481
57,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6.0,1.791759469228055,-1.6607312068216509,-1.3470736479666092,3.912023005428146,4.990432586778736,79.21000000000001,10.889999999999999
58,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6.0,1.8870696490323797,-0.9675840262617056,-1.8971199848858813,3.2188758248682006,4.356708826689592,104.03999999999999,9.672099999999999
59,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,6.0,2.0014800002101243,-1.6094379124341003,-1.0216512475319814,3.784189633918261,4.709530201312334,98.01,11.289599999999998
60,6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,6.0,1.916922612182061,-1.5141277326297755,-1.4271163556401458,3.4011973816621555,4.812184355372417,73.96,9.1809
61,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,6.0,1.791759469228055,-1.6607312068216509,-1.3470736479666092,3.912023005428146,4.990432586778736,79.21000000000001,10.889999999999999
62,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,5.0,1.9459101490553132,-0.7550225842780328,-2.659260036932778,2.833213344056216,5.017279836814924,110.25,9.1204
63,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,6.0,1.8870696490323797,-0.9675840262617056,-1.8971199848858813,3.2188758248682006,4.356708826689592,104.03999999999999,9.672099999999999
64,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,6.0,1.9740810260220096,-1.4271163556401458,-1.3093333199837622,3.4339872044851463,4.804021044733257,106.09000000000002,9.9225
65,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,3.22,0.54,9.1,5.0,1.824549292051046,-1.0498221244986778,-3.506557897319982,3.367295829986474,4.787491742782046,82.80999999999999,10.368400000000001
66,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,7.0,1.8562979903656263,-1.3470736479666092,-1.4271163556401458,3.295836866004329,4.820281565605037,158.76,10.368400000000001
67,6.7,0.25,0.13,1.2,0.041,81.0,174.0,0.992,3.14,0.42,9.8,5.0,1.9021075263969205,-1.3862943611198906,-2.0402208285265546,4.394449154672439,5.159055299214529,96.04000000000002,9.8596
68,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8.0,1.9021075263969205,-1.4696759700589417,-1.171182981502945,3.4011973816621555,4.564348191467836,114.48999999999998,11.0889
69,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5.0,2.0014800002101243,-1.4271163556401458,-1.2378743560016174,3.044522437723423,4.653960350157523,90.25,9.796899999999999
70,6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51,9.0,6.0,1.824549292051046,-1.3093333199837622,-0.843970070294529,3.871201010907891,5.497168225293202,81.0,9.610000000000001
71,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5.0,1.916922612182061,-1.2039728043259361,-1.4696759700589417,3.9219733362813143,5.474369310328396,90.25,11.0224
72,6.0,0.27,0.28,4.8,0.063,31.0,201.0,0.9964,3.69,0.71,10.0,5.0,1.791759469228055,-1.3093333199837622,-1.2729656758128873,3.4339872044851463,5.303304908059076,100.0,13.6161
73,8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.9941,2.95,0.49,9.1,6.0,2.151762203259462,-1.4696759700589417,-0.7765287894989963,2.1972245773362196,4.276666119016055,82.80999999999999,8.7025
74,6.7,0.23,0.31,2.1,0.046,30.0,96.0,0.9926,3.33,0.64,10.7,8.0,1.9021075263969205,-1.4696759700589417,-1.171182981502945,3.4011973816621555,4.564348191467836,114.48999999999998,11.0889
75,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35,9.5,5.0,2.0014800002101243,-1.4271163556401458,-1.2378743560016174,3.044522437723423,4.653960350157523,90.25,9.796899999999999
76,7.1,0.18,0.36,1.4,0.043,31.0,87.0,0.9898,3.26,0.37,12.7,7.0,1.9600947840472698,-1.7147984280919266,-1.0216512475319814,3.4339872044851463,4.465908118654584,161.29,10.6276
77,7.0,0.32,0.34,1.3,0.042,20.0,69.0,0.9912,3.31,0.65,12.0,7.0,1.9459101490553132,-1.1394342831883648,-1.0788096613719298,2.995732273553991,4.23410650459726,144.0,10.956100000000001
78,7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.9961,2.94,0.56,9.3,5.0,2.0014800002101243,-1.7147984280919266,-1.2039728043259361,3.258096538021482,4.634728988229636,86.49000000000001,8.6436
79,6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.9949,3.27,0.37,9.0,5.0,1.9021075263969205,-0.616186139423817,-1.2729656758128873,3.044522437723423,4.653960350157523,81.0,10.6929
80,6.8,0.22,0.31,1.4,0.053,34.0,114.0,0.9929,3.39,0.77,10.6,6.0,1.916922612182061,-1.5141277326297755,-1.171182981502945,3.5263605246161616,4.736198448394496,112.36,11.4921
81,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,6.0,1.9600947840472698,-1.6094379124341003,-1.0788096613719298,3.9318256327243257,5.111987788356544,84.63999999999999,10.3041
82,7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.9946,3.17,0.42,10.0,5.0,1.9600947840472698,-1.0788096613719298,-1.6094379124341003,3.8501476017100584,5.099866427824199,100.0,10.0489
83,7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.9966,3.33,0.46,9.5,6.0,1.9878743481543455,-1.5141277326297755,-1.2039728043259361,3.7376696182833684,5.332718793265369,90.25,11.0889
84,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5.0,1.9600947840472698,-0.843970070294529,-0.4942963218147801,3.9889840465642745,5.043425116919247,75.68999999999998,9.672099999999999
85,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6.0,1.9600947840472698,-0.8209805520698302,-0.4780358009429998,3.9512437185814275,5.0238805208462765,75.68999999999998,9.7344
86,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6.0,1.9740810260220096,-0.941608539858445,-0.4620354595965587,4.007333185232471,5.049856007249537,75.68999999999998,9.5481
87,6.8,0.25,0.31,13.3,0.05,69.0,202.0,0.9972,3.22,0.48,9.7,6.0,1.916922612182061,-1.3862943611198906,-1.171182981502945,4.23410650459726,5.308267697401205,94.08999999999999,10.368400000000001
88,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45,8.7,5.0,1.9600947840472698,-0.843970070294529,-0.4942963218147801,3.9889840465642745,5.043425116919247,75.68999999999998,9.672099999999999
89,7.1,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6.0,1.9600947840472698,-0.8209805520698302,-0.4780358009429998,3.9512437185814275,5.0238805208462765,75.68999999999998,9.7344
90,7.2,0.39,0.63,11.0,0.044,55.0,156.0,0.9974,3.09,0.44,8.7,6.0,1.9740810260220096,-0.941608539858445,-0.4620354595965587,4.007333185232471,5.049856007249537,75.68999999999998,9.5481
91,6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.9957,3.12,0.47,9.0,5.0,1.8082887711792655,-1.3093333199837622,-0.843970070294529,4.174387269895637,5.493061443340548,81.0,9.7344
92,6.9,0.24,0.33,1.7,0.035,47.0,136.0,0.99,3.26,0.4,12.6,7.0,1.9315214116032138,-1.4271163556401458,-1.1086626245216111,3.8501476017100584,4.912654885736052,158.76,10.6276
93,6.9,0.21,0.33,1.8,0.034,48.0,136.0,0.9899,3.25,0.41,12.6,7.0,1.9315214116032138,-1.5606477482646683,-1.1086626245216111,3.871201010907891,4.912654885736052,158.76,10.5625
94,7.5,0.17,0.32,1.7,0.04,51.0,148.0,0.9916,3.21,0.44,11.5,7.0,2.0149030205422647,-1.7719568419318752,-1.1394342831883648,3.9318256327243257,4.997212273764115,132.25,10.3041
95,7.1,0.26,0.29,12.4,0.044,62.0,240.0,0.9969,3.04,0.42,9.2,6.0,1.9600947840472698,-1.3470736479666092,-1.2378743560016174,4.127134385045092,5.480638923341991,84.63999999999999,9.2416
96,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6.0,1.791759469228055,-1.0788096613719298,-0.4155154439616658,3.258096538021482,5.099866427824199,77.44000000000001,9.8596
97,8.6,0.265,0.36,1.2,0.034,15.0,80.0,0.9913,2.95,0.36,11.4,7.0,2.151762203259462,-1.3280254529959148,-1.0216512475319814,2.70805020110221,4.382026634673881,129.96,8.7025
98,9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.9956,2.89,0.3,10.1,4.0,2.2823823856765264,-1.0216512475319814,-0.7765287894989963,1.3862943611198906,4.418840607796598,102.00999999999999,8.3521
99,6.0,0.34,0.66,15.9,0.046,26.0,164.0,0.9979,3.14,0.5,8.8,6.0,1.791759469228055,-1.0788096613719298,-0.4155154439616658,3.258096538021482,5.099866427824199,77.44000000000001,9.8596
100,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5.0,2.0014800002101243,-1.3862943611198906,-0.9942522733438669,3.9512437185814275,5.2574953720277815,82.80999999999999,9.0
101,7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5.0,1.9600947840472698,-2.120263536200091,-1.1394342831883648,4.1588830833596715,5.087596335232384,88.36000000000001,11.559999999999999
102,6.0,0.21,0.24,12.1,0.05,55.0,164.0,0.997,3.34,0.39,9.4,5.0,1.791759469228055,-1.5606477482646683,-1.4271163556401458,4.007333185232471,5.099866427824199,88.36000000000001,11.1556
103,7.5,0.305,0.4,18.9,0.059,44.0,170.0,1.0,2.99,0.46,9.0,5.0,2.0149030205422647,-1.1874435023747254,-0.916290731874155,3.784189633918261,5.135798437050262,81.0,8.940100000000001
104,7.4,0.25,0.37,13.5,0.06,52.0,192.0,0.9975,3.0,0.44,9.1,5.0,2.0014800002101243,-1.3862943611198906,-0.9942522733438669,3.9512437185814275,5.2574953720277815,82.80999999999999,9.0
105,7.3,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,6.0,1.9878743481543455,-2.0402208285265546,-1.1394342831883648,3.5263605246161616,4.6913478822291435,84.63999999999999,10.240000000000002
106,7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.9962,3.4,0.41,9.4,5.0,1.9600947840472698,-2.120263536200091,-1.1394342831883648,4.1588830833596715,5.087596335232384,88.36000000000001,11.559999999999999
107,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6.0,1.9600947840472698,-1.4696759700589417,-1.0498221244986778,4.0943445622221,5.14166355650266,82.80999999999999,9.985600000000002
108,7.1,0.23,0.35,16.5,0.04,60.0,171.0,0.999,3.16,0.59,9.1,6.0,1.9600947840472698,-1.4696759700589417,-1.0498221244986778,4.0943445622221,5.14166355650266,82.80999999999999,9.985600000000002
109,6.9,0.33,0.28,1.3,0.051,37.0,187.0,0.9927,3.27,0.6,10.3,5.0,1.9315214116032138,-1.1086626245216111,-1.2729656758128873,3.6109179126442243,5.231108616854587,106.09000000000002,10.6929
110,6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,6.0,1.8718021769015913,-1.7719568419318752,-0.616186139423817,4.1588830833596715,5.093750200806762,77.44000000000001,8.3521
111,7.2,0.27,0.46,18.75,0.052,45.0,255.0,1.0,3.04,0.52,8.9,5.0,1.9740810260220096,-1.3093333199837622,-0.7765287894989963,3.8066624897703196,5.541263545158426,79.21000000000001,9.2416
112,7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5.0,1.9740810260220096,-1.171182981502945,-0.6931471805599453,4.219507705176107,5.272999558563747,84.63999999999999,9.060099999999998
113,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5.0,1.9021075263969205,-0.8915981192837836,-1.0788096613719298,3.367295829986474,5.0106352940962555,82.80999999999999,10.368400000000001
114,6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9968,3.22,0.51,9.1,5.0,1.9021075263969205,-0.8915981192837836,-1.0788096613719298,3.367295829986474,5.0106352940962555,82.80999999999999,10.368400000000001
115,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7,4.0,1.7047480922384253,-0.7236063880446539,-inf,2.0794415416798357,4.634728988229636,94.08999999999999,13.1769
116,6.0,0.31,0.24,3.3,0.041,25.0,143.0,0.9914,3.31,0.44,11.3,6.0,1.791759469228055,-1.171182981502945,-1.4271163556401458,3.2188758248682006,4.962844630259907,127.69000000000001,10.956100000000001
117,7.0,0.14,0.4,1.7,0.035,16.0,85.0,0.9911,3.19,0.42,11.8,6.0,1.9459101490553132,-1.9661128563728327,-0.916290731874155,2.772588722239781,4.442651256490317,139.24,10.1761
118,7.2,0.31,0.5,13.3,0.056,68.0,195.0,0.9982,3.01,0.47,9.2,5.0,1.9740810260220096,-1.171182981502945,-0.6931471805599453,4.219507705176107,5.272999558563747,84.63999999999999,9.060099999999998
119,7.3,0.32,0.48,13.3,0.06,57.0,196.0,0.9982,3.04,0.5,9.2,5.0,1.9878743481543455,-1.1394342831883648,-0.7339691750802004,4.04305126783455,5.278114659230517,84.63999999999999,9.2416
120,5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,5.0,1.7749523509116738,-1.0216512475319814,-3.2188758248682006,3.044522437723423,4.465908118654584,104.03999999999999,10.368400000000001
121,7.8,0.24,0.32,12.2,0.054,42.0,138.0,0.9984,3.01,0.54,8.8,5.0,2.0541237336955462,-1.4271163556401458,-1.1394342831883648,3.7376696182833684,4.927253685157205,77.44000000000001,9.060099999999998
122,7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7,5.0,2.0014800002101243,-1.8325814637483102,-1.171182981502945,3.4339872044851463,4.875197323201151,94.08999999999999,10.8241
123,6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.9952,3.29,0.36,9.1,6.0,1.9315214116032138,-1.6607312068216509,-1.2729656758128873,2.6390573296152584,4.983606621708336,82.80999999999999,10.8241
124,6.4,0.13,0.47,1.6,0.092,40.0,158.0,0.9928,3.21,0.36,9.8,6.0,1.8562979903656263,-2.0402208285265546,-0.7550225842780328,3.6888794541139363,5.062595033026967,96.04000000000002,10.3041
125,6.7,0.19,0.36,1.1,0.026,63.0,143.0,0.9912,3.27,0.48,11.0,6.0,1.9021075263969205,-1.6607312068216509,-1.0216512475319814,4.143134726391533,4.962844630259907,121.0,10.6929
126,7.4,0.39,0.23,7.0,0.033,29.0,126.0,0.994,3.14,0.42,10.5,5.0,2.0014800002101243,-0.941608539858445,-1.4696759700589417,3.367295829986474,4.836281906951478,110.25,9.8596
